"","CN20"
"P1",1.08670303355061
"P13",0.412550347830074
"P3",0.201127352318082
"P12",0.111024869009103
"P6",0.110487330150596
"P2",0.0702788707796846
"P5",0.0643031001115047
"P7",0.026411125117082
"P11",-0.0194886993766628
"P4",-0.0369172898788152
"P8",-0.122612050875499
"P9",-0.163956301731795
